source_text,target_text
"summarize: In 2004, Roy was selected as the greatest goaltender in NHL history by a panel of 41 writers, coupled with a simultaneous fan poll.",Roy was selected as the greatest goaltender in NHL history in 2004.
summarize: Frances was later absorbed by an extratropical cyclone on November 21.,Frances was later drawn in by an extratropical cyclone on November 21.
"summarize: Tracking northwestward, the depression moved ashore near Fort Walton Beach early on September 22, and shortly thereafter it dissipated over southeastern Alabama.","Traveling northwestward, the depression moved ashore near Fort Walton Beach early on September 22. Shortly after it dissipated over southeastern Alabama."
summarize: Anthony McGill is the principal clarinetist for the Metropolitan Opera.,Anthony McGill is the lead clarinetist for the Metropolitan Opera.
summarize: The author (s) and publisher (s) of the Document do not by this License give permission to use their names for publicity for or to assert or imply endorsement of any Modified Version.,The author and publisher of the Licence don't allow the use of their names for publicity and for endorsement of any Modified Version.
"summarize: The British Rail Class 91 is a class of 140 mph (225 km / h), 4.54MW / 6,300 hp electric locomotives ordered as a component of the East Coast Main Line modernisation and electrification programme of the late 1980s.","The British Rail 91 is a class of 140 mph, 4.54MW / 6,300 hp electric train ordered as for the East Coast Main Line in late 1980s."
summarize: There are claims that thousands of people were impaled at a single time.,Some say that thousands of people were killed.
"summarize: The name ""hornet"" is used for this and related species primarily because of their habit of making aerial nests (similar to the true hornets) rather than subterranean nests.","The ""hornet"" name is used mainly for this and related species because they make nests in the air like hornets instead of underground."
"summarize: In 1589, salt began to be made in Sunderland.",Sunderland salt was made in 1589.
"summarize: Some trails are designated as nature trails, and are used by people learning about the natural world.","Some trails are nature trails, used be people learning about nature."
"summarize: In August 2007, Hager was reassigned to Florida Championship Wrestling, where he began a feud with TJ Wilson.","in 2007, Hager went back to Florida Championship Wrestling, and had a fight with TJ Wilson."
summarize: These rock formations are characteristically composed of sandstone with layers of quartz.,These rock formations are composed of sandstone with layers of quartz.
summarize: Notably absent from the city are fortifications and military structures.,Notably gone from the city are fortifications and military structures.
"summarize: Adrastea was discovered by David C. Jewitt and G. Edward Danielson in Voyager 2 probe photographs taken on July 8, 1979, and received the designation.","Adrastea was found by David C. Jewitt and G. Edward Danielson in Voyager 2 probe photographs taken on July 8, 1979"
"summarize: Picasa Web Albums was first leaked on June 6, 2006.","Picasa Web Albums was first seen on June 6, 2006."
summarize: It is probably a primitive body composed of carbonates.,It is probably a simple body made of carbonates.
"summarize: Either way, Artemis was born first and then assisted with the birth of Apollo.",Artemis was born first and then helped with the birth of Apollo.
summarize: The park has become a traditional location for mass demonstrations.,The park is now often used for demonstrations.
summarize: Breaking Dawn is the fourth and final novel in the Twilight series by Stephenie Meyer.,Breaking Dawn is the fourth and final book in the Twilight series by Stephenie Meyer.
"summarize: The main town is Abingdon, other places include Faringdon and Wantage.",The main town is Abingdon. Other towns include Faringdon and Wantage.
summarize: The municipality has about 5700 inhabitants.,The municipality has about 5700 people.
"summarize: 42 – 59 External links 2001 Census, accessed Nov. 29, 2006 geo.","2001 Census, accessed Nov. 29, 2006 geo."
"summarize: It was discovered by a team of astronomers from the University of Hawaii led by Scott S. Sheppard, et al.",It was found by a team of astronomers from the University of Hawaii led by Scott S. Sheppard.
summarize: Nocturnes is an orchestral composition in three movements by the French composer Claude Debussy.,Nocturnes is an orchestral composition in three parts by the French composer Claude Debussy.
summarize: The Alexandrian Life of Aeschylus indicates that the playwright took the first prize at the City Dionysia thirteen times.,The Alexandrian Life of Aeschylus shows that the playwright took the first prize at the City Dionysia thirteen times.
"summarize: Calvinism gained some popularity in Scandinavia, especially Sweden, but was rejected in favor of Lutheranism after the synod of Uppsala in 1593.","Calvinism gained some popularity in Scandinavia, but was rejected in favor of Lutheranism after the synod of Uppsala in 1593."
"summarize: In order to accomplish their objective, surveyors use elements of geometry, engineering, trigonometry, mathematics, physics, and law.","In order complete the objective surveyors use elements of geometry, engineering, trigonometry, mathematics, physics, and law."
"summarize: Given their low metabolic rate and the low density of prey at such depths, Vampire Squid must use innovative predator avoidance tactics in order to conserve energy.",Vampire Squid must use innovative predator avoidance tactics in order to conserve energy due to lack of prey.
summarize: In the 1950s Camus devoted his efforts to human rights.,Camus devoted his efforts to human rights.
"summarize: Iron Maiden, released on April 14, 1980, is the debut album by heavy metal band Iron Maiden.","Iron Maiden, released on April 14, 1980, is the first album by heavy metal band Iron Maiden."
"summarize: The Vezina Trophy is awarded annually to the National Hockey League's goaltender who is ""adjudged to be the best at this position"".",The Vezina Trophy is awarded annually to the National Hockey League's goaltender who performs the best in the position.
"summarize: It was discovered by a team of astronomers from the University of Hawaii led by Scott S. Sheppard in 2000, and given the temporary designation.",It was discovered by a team of astronomers from the University of Hawaii led by Scott S. Sheppard in 2000.
"summarize: Hydra appears to be spectrally neutral like Charon and Nix, though Pluto is reddish.",Hydra appears to be spectrally neutral like Charon and Nix.
summarize: Key factors in an RTOS are therefore a minimal interrupt latency and a minimal thread switching latency.,So key factors in an RTOS are a small interrupt and thread switching latency.
"summarize: The waxing crescent moon ""represents a young nation on the ascendant"".","The waxing crescent moon ""speaks for a young nation on the rise""."
"summarize: The ALU is a fundamental building block of the central processing unit (CPU) of a computer, and even the simplest microprocessors contain one for purposes such as maintaining timers.",The ALU is a basic part of the CPU. Even the most simple microprocessor has one for reasons like maintaining timers.
"summarize: Probably in the ninth century, the village became part of the territory of the monastery of Reichenau.",it's thought would become part of the monestery of Reichenau in the 9th century.
"summarize: At the 2008 Cannes Film Festival, Alain Siritzky announced that a worldwide search was underway for a new Emmanuelle to star in a new series of films.","At the 2008 Cannes Film Festival, Alain Siritzky announced that he was looking for a new Emmanuelle to star in a new series of movies."
"summarize: Hardy also cites ""burn out"" and the need for time off as reasons for leaving WWE.","Hardy is quoted as saying ""burn out"" is a reason for taking time off from WWE."
summarize: Q is the seventeenth letter of the basic modern Latin alphabet.,Q is the seventeenth letter in the modern Latin alphabet.
summarize: This book by itself is out of print having been published along with nine short stories in the collection The Worthing Saga (1990).,This book by itself is out of print. It had been published in 1990 as a collection of nine short stories called The Worthing Saga.
"summarize: The 1977 Atlantic hurricane season officially began on June 1, 1977, and lasted until November 30, 1977.","The 1977 Atlantic hurricane season officially lasted from June 1 to November 30, 1977."
"summarize: Due to the Cold War, subsequent trials never took place.",Following trials didn't happen because of the Cold War.
"summarize: John Paul Stevens (born April 20, 1920) is the senior Associate Justice of the Supreme Court of the United States.",John Paul Stevens is the senior Associate Justice of the Supreme Court of the United States.
"summarize: For a period, platforms at both the old and new stations operated, before the original station finally closed and was demolished.",Platforms at both the old and new stations operated until the original station finally closed.
"summarize: However, all of the storms that have impacted Arizona have formed in the latter parts of the Pacific hurricane season, and only storm remnants have affected the state before August.",All of the storms that have impacted Arizona have formed towards the end of Pacific hurricane season. Only storm remnants have affected the state before August.
"summarize: The two Byzantine outbreaks during the 8th and 9th centuries were unusual in that the use of images was the main issue in the dispute, rather than a by-product of wider concerns.",The two Byzantine outbreaks during the 8th and 9th centuries were strange in that the use of images was the main issue in the fight.
"summarize: It was discovered by a team of astronomers from the University of Hawaii led by Scott S. Sheppard in 2003, receiving the temporary designation.",It was discovered by a team of astronomers from the University of Hawaii led by Scott S. Sheppard in 2003.
"summarize: The French word bourgeois evolved from the Old French word burgeis, meaning ""an inhabitant of a town"" (cf.","The French word bourgeois came from the Old French word burgeis, meaning ""an inhabitant of a town""."
"summarize: The Book of Nehemiah is a book of the Hebrew Bible, historically regarded as a continuation of the Book of Ezra, and is sometimes called the second book of Ezra.","The Book of Nehemiah is a book of the Hebrew Bible. It is regarded as a continuation of the Book of Ezra, often called the second book of Ezra."
"summarize: The Erotian surface gravity varies greatly, since Eros is not a sphere but an elongated peanut-shaped (or potato- or shoe-shaped) object.",The Erotian surface gravity varies because Eros is not a sphere. Eros is an elongated peanut-shaped object.
summarize: Definition Overview The key idea behind a Reed – Solomon code is that the data encoded is first visualized as a polynomial.,The key idea behind a Reed – Solomon code is that the data encoded is first visualized as a polynomial.
"summarize: The WWF consisted of Stone Cold Steve Austin, Kurt Angle, Chris Jericho, Kane, and the Undertaker, who all squared off against the team of DDP, Booker T, Rhyno, and the Dudley Boys.","The WWF consisted of Stone Cold Steve Austin, Kurt Angle, Chris Jericho, Kane, and the Undertaker. They have wrestled against the team of DDP, Booker T, Rhyno, and the Dudley Boys."
"summarize: Memory locations can also be renamed, although it is not commonly done to the extent practised in register renaming.","Memory locations can also be renamed, although it is not often done in register renaming."
summarize: Disputes between European and Chinese miners flared into brawls at Daylesford and Castlemaine.,Disputes between European and Chinese miners flared into fights at Daylesford and Castlemaine.
"summarize: Tourism is concentrated in the mountains, particularly around the towns of Davos / Arosa, Laax and St. Moritz / Pontresina.","Tourism is mostly in the mountains, around the towns of Davos / Arosa, Laax and St. Moritz / Pontresina."
"summarize: It was discovered on February 27, 1995.","It was found on February 27, 1995."
summarize: He began this form of ministry in 1947 and continued until recently.,He began this form of ministry in 1947 and only stopped recently.
summarize: Anne Frank was deported on the last train from Westerbork.,Anne Frank was deported on the train from Westerbork.
"summarize: Upper body Sleeveless shirt Tank top, wife beater, singlet A sleeveless garment similar to a T-shirt.","Sleeveless shirt Tank top, wife beater, singlet A sleeveless clothes similar to a T-shirt."
"summarize: The moon is very elongated, with its short axis 0.5 ± 0.1 times the long axis.","The moon is oval, with its short axis 0.5 ± 0.1 times the long axis."
"summarize: They claimed to be playing an April Fool's joke, but most people who saw the signs were unfamiliar with the phrase.","They said it was an April Fool's joke, but most people who saw the signs didn't know the phrase."
"summarize: A parallel to tributaries is the distributary, a river that branches off of and flows away from the main stream.","Unlike tributaries, the distributary is a river that branches off of and flows away from the main stream."
"summarize: The inner eyewall dissipated as a 23 mile (37 km) outer eyewall became dominant, and concurrently the overall organization of the hurricane improved.","The inner eyewall disappeared, but a 23 mile outer eyewall became dominant, and at the same time the hurricane's structure improved."
summarize: The White Sox play in the American League's Central Division.,The White Sox are in the American League's Central Division.
"summarize: When Damocles was discovered, in 1991 by Robert H. McNaught, it was found to be on an orbit completely different from all others known.","Damocles was discovered, in 1991 by Robert H. McNaught. it was found to be on an orbit different from all others."
summarize: The Blake River Megacaldera Complex is considered a supervolcano due to its great size and its multiple dikes and vents.,"The Blake River Megacaldera Complex is considered a supervolcano because of its size, and number of dikes and vents."
"summarize: Six species live in the greater Caribbean region, including the Queen Conch, and the West Indian Fighting Conch, Strombus pugilis.",The Queen Conce and the West Indian Fighting Conch are two of six species that live in the greater Caribbean region.
"summarize: With its completion in 1992, uninterrupted water transport was made possible between the North Sea and the Black Sea.",Uniterrupted water transport was made possible between the North Sea and the Black Sea in 1992.
summarize: World temperatures could rise by between 1.1 and 6.4 ° C (2.0 and 11.5 ° F) during the 21st century (table 3) and that: Sea levels will probably rise by 18 to 59 cm (7.08 to 23.22 in) [table 3].,World temperatures could rise between 1.1 and 6.4° C during the 21st century. Sea levels will probably rise by 18 to 59 cm.
summarize: In reality Angle announced that he would be having neck surgery in May and would be out of action until August.,Angle announced that he would be having neck surgery in May and wouldn't return until August.
"summarize: These flies are clothed in black or pale (white or golden) hairs, and are themselves either black or metallic green or blue.",These flies have black or pale (white or golden) hairs. Their bodies are either black or metallic green or blue.
summarize: Packaged instant soups come in several varieties: A packet of dry soup stock (like the ramen image below).,Packaged instant soups come in several varieties including packets of dry soup stock like ramen.
summarize: Since 1980 the senior pastor has been John Piper.,John Piper has been the senior pastor since 1980.
"summarize: It aims to be fast and lightweight, while still being visually appealing and easy to use.","It aims to be fast, lightweight, visually appealing and easy to use."
"summarize: The subsequent campaigns were more or less successful, and the Imperial Exarchate was established in Ravenna to oversee Italy, though actually imperial influence was often limited.",The subsequent campaigns were successful. The Imperial Exarchate was created in Ravenna to oversee Italy.
summarize: September 13 - Astronomers from the European Southern Observatory (ESO) announce images that appear to show a planet orbiting a brown dwarf about 230 light years away.,"On September 13, astronomers from the European Southern Observatory (ESO) showed images of a planet orbiting a brown dwarf about 230 light years away."
"summarize: In 1919, all of the major pro-independence factions formed the Provisional Government in Shanghai.","In 1919, the major pro-independence factions created the Provisional Government in Shanghai."
summarize: This has the advantage of evenly distributed spatial resolution without singularities (i. e. the poles) at the expense of somewhat greater numerical difficulty.,This has the advantage of evenly shared poles at the expense of greater numerical difficulty.
"summarize: One winter night, she was left alone while her son and his wife went to a basketball game.","One night, she was left alone. Her son and his wife went to a basketball game."
"summarize: Since then, the medal has been awarded 1,356 times to 1,353 individual recipients.","The medal has been awarded 1,356 times to 1,353 different people."
"summarize: Justification is seen by Protestants as being the theological fault line that divided Roman Catholic from Protestant during the ReformationFor example, Kurt Aland, A History of Christianity, vol.",Protestants see justification as the religious issue that split the Roman Catholic from them during the Reformation.
"summarize: The tornado destroyed 20 homes, left 30 others severely damaged, injured one person, and caused power outages for about 300 people.","The tornado destroyed 20 homes, left 30 others severely damaged, injured one person, and power was down for 300 people."
summarize: Ban became actively involved in issues relating to inter-Korean relationships.,Ban became involved in issues about inter-Korean relationships.
summarize: Ensuring that the food supply is free of contamination.,Ensure that the food supply is free of contamination.
"summarize: The series returned from hiatus on February 7, 2007 and was aired at 10: 00 pm.","The series returned from break on February 7, 2007 and was aired at 10: 00 pm."
"summarize: The hot metal straightener slid easily through the hair, causing less damage and dryness than previously-used techniques.","The hot metal straightener slid easily through the hair, causing little damage and dryness."
"summarize: Partnerships Since 1990 the district has a partnership with the district Main-Kinzig in Hessen, Germany.","Since 1990 the district has a partnership with the district Main-Kinzig in Hessen, Germany."
"summarize: Its articles are now carried by press release archives like World News, scoop.",Its articles are now carried by press release archives like World News.
"summarize: Geography The Caucasus Mountains are generally perceived to be a dividing line between Asia and Europe, and territories in Caucasia are alternately considered to be in one or both continents.",The Caucasus Mountains are generally perceived to be a dividing line between Asia and Europe. Territories in Caucasia are alternately considered to be in one or both continents.
summarize: Description Anchovies are small green fish with blue reflections due to a silver longitudinal stripe that runs from the base of the caudal fin.,Anchovies are small green fish with reflections. This is due to the silver stripe that runs along the length of their caudal fin
"summarize: Other users and bots may edit pages in your user space, though by convention your user page will usually not be edited by others.","Other users and bots may edit your user space, but they usually will not."
"summarize: Diacritical marks and non-English letters are ignored, while numerical entries such as ""1812, War of"" are alphabetised as if the number had been written out (""Eighteen-twelve, War of"").","accent marks and non-English letter are ignored, but number such as ""1812, War of"" are sorted by letter as if written out in word form."
"summarize: Luis Suárez Miramontes (born May 2, 1935) is a Spanish former footballer and manager.","Luis Suárez Miramontes was born May 2, 1935. She used to be a footballer and manager."
summarize: Coupled with the aggressive expansion and expanded menu came the outsourcing of baked goods.,"Together with the expansion and bigger menu, baked goods were brought from other places."
"summarize: These benefits are in some ways similar to those realized by owners of infrastructural capital which yields more goods, e. g. a factory which produces automobiles just as an apple tree produces apples.","These benefits are similar to those of owners of infrastructural capital which makes more goods, like a factory that makes cars or as an apple tree that makes apples."
"summarize: Greenland first entertained the idea of a flag of its own in 1973 when five Greenlanders proposed a green, white and blue flag.","Greenland first wanted to make it's flag in 1973 when five Greenlanders offered a green, white and blue flag."
summarize: They can also be used as a general test tube substitute particularly when a larger volume is desired.,They can also be used as a test tube if a larger size is needed.
summarize: Grosse Ile Township is a civil township of Wayne County in the U. S. state of Michigan.,Grosse Ile is a civil township of Wayne County in Michigan.
"summarize: In respective singles matches, John Cena defeated Sabu in an Extreme lumberjack match, which featured superstars from the Raw and ECW brands at ringside.",John Cena beat Sabu in an Extreme lumberjack singles match. It featured superstars from Raw and ECW at ringside.
summarize: Tiko United FC is a Cameroonian football club based in Tiko.,Tiko United FC is a Cameroonian football club.
"summarize: In 1998, she contributed back-up vocals for the Refugee Camp's ""It's Too Late"", a Carroll King cover.","in 1998, she gave back-up vocals for Refugee Camps ""It's Too Late"", a Carroll King cover."
summarize: Tube sound (or valve sound) is the characteristic sound associated with a vacuum tube-based audio amplifier.,Tube sound is the characteristic sound associated with a vacuum tube-based audio amplifier.
summarize: Great Seal of the United States Francis Hopkinson provided assistance to the second committee that designed the Great Seal of the United States.,Francis Hopkinson helped the second committee that designed the Great Seal of the United States.
"summarize: He was responsible there for music, the organ, directing chants and choir, etc.","He was in charge of the music, the organ, directing chants and choir."
summarize: The Renault Vel Satis is an executive car produced by the French manufacturer Renault.,The Renault Vel Satis is an executive car made by the French manufacturer Renault.
summarize: Neptune is the eighth and outermost-known planet from the Sun in the Solar System.,Neptune is the eighth and furthest planet from the Sun in the Solar System.
"summarize: Riluzole does not reverse the damage already done to motor neurons, and patients taking the drug must be monitored for liver damage and other possible side effects.",Riluzole doesn't undo damage already done to motor neurons. Patients taking the drug must be monitored for liver damage and other possible side effects.
summarize: Hurwicz was inducted into the American Academy of Arts and Sciences in 1965.,Hurwicz was entered into the American Academy of Arts and Sciences in 1965.
summarize: Description Pack rats are prevalent in the deserts and highlands of western United States and northern Mexico.,"Pack rats are common in northern Mexico, deserts, and highlands in Western United States."
summarize: The Parlement law courts of ancien régime France are established.,Parlement law courts were started in France.
"summarize: Wilbur repays Charlotte by bringing home with him the sac of eggs (her ""magnum opus"") she had laid at the fair before dying.",Wilbur brings the eggs sac that Charlotte laid at the fair before dying home to repay her.
summarize: She aided Theseus in overcoming the Minotaur and later became the bride of the god Dionysus.,She helped Theseus beat the Minotaur. She later became Dionysus's bride.
summarize: Nessler An early alternative method for curling hair that was suitable for use on people was invented in 1905 by German hairdresser Charles Nessler (1872 – 1951).,An early alternative method for curling peoples hair was invented in 1905 by German hairdresser Charles Nessler.
"summarize: In 1972, arsonists set the bunker on fire.",Arsonists set the bunker on fire in 1972.
"summarize: After she has finished her wrestling career, James plans to own a farm and be an equine trainer.","After she has finished her wrestling career, James plans to own a farm and be a horse trainer."
summarize: The new government in 1816 created the districts Steinfurt and Tecklenburg.,The new government in 1816 made the districts Steinfurt and Tecklenburg.
summarize: Add an appropriate copyright notice for your modifications adjacent to the other copyright notices.,Add a copyright notice for changes next to other copyright notices.
"summarize: Above the boxes, La Scala has always had a gallery where the less wealthy can watch the performances.",La Scala has a gallery above the boxes where the less wealthy can watch performances.
"summarize: It is situated 44 miles (71 km) northeast of Pittsburgh, along the east bank of the Allegheny River.",It is 44 miles northeast of Pittsburgh. located on the east bank of the Allegheny River
"summarize: Initially elastic sweatbands were issued to each street crime unit member, based on the chosen color of the day: beginning the use of the color of the day recognition system.","Elastic sweatbands were first given to all street crime unit members, based on a daily color recognition system. This began the use of that system."
"summarize: Solar thermal power plants can generally be built in a few years because solar plants are built almost entirely with modular, readily available materials.",Solar power plants can be built quicker because they are built with modular materials.
"summarize: Daniel Waters also gained recognition for his screenplay, which won a 1990 Edgar Award.",Daniel Waters won a 1990 Edgar Award for his screenplay.
"summarize: The Official Municipality Key, formerly also known as the Official Municipality Characteristic Number or Municipality Code Number, is a number sequence for the identification of politically independent municipalities or unincorporated areas.","The city key, formerly known as the Characteristic Number is a number for locating politically independent municipalities or unincorporated areas."
"summarize: At least 537 deaths were blamed on Hanna, primarily in Haiti.",At least 537 deaths were caused by Hanna in Haiti.
"summarize: The term most commonly refers to higher plants, but epiphytic bacteria, fungi (epiphytic fungi), algae, lichens, mosses, and ferns exist as well.","This usually refers to higher planty but bacteria, fungi, algae, lichens, mosses, and ferns also exist."
"summarize: In 2005, Stallone also inducted wrestling icon Hulk Hogan, who appeared in Rocky III as a wrestler named Thunderlips, into the WWE Hall of Fame; Stallone was also the person who offered Hogan the cameo in Rocky III.","In 2005, Stallone put Hulk Hokan into the WWE Hall of Fame. He also offered Hogan a cameo in Rocky III, he appeared as a wrestler named Thunderlips."
"summarize: Even if a contribution violates the precise wording of a rule, it might still be a good contribution.","even if an addition does against the exact wording of a rule, it might still be a good one."
summarize: They must try to find a way home by using plotholes to teleport between dimensional realms.,They must try to get home using plotholes to teleport.
"summarize: When Bonham Carter was just five, her mother had a serious nervous breakdown, from which it took her three years to recover.",Bonham Carters mother had a three year long nervous breakdown when she was five.
"summarize: All members of this genus were once considered part of the same species, Calomyscus bailwardi, but they are now referred to as separate species due to major differences in chromosome number, skull measurements, and other features.","All members of this group were once part of the Calomyscus bailwardi, but now they are considered seperate due to the difference in chromosomes, skull measurements, and other features."
summarize: Neodymium is a chemical element with the symbol Nd and atomic number 60.,Neodymium is atomic number 60 with a symbol of Nd.
"summarize: More formally, vorticity can be related to the amount of ""circulation"" or ""rotation"" (or more strictly, the local angular rate of rotation) in a fluid.",vorticity is the the local angular rate of rotation in a fluid.
"summarize: Fluctuations of this line horizon describe all matter, so every elementary particle can be described by a mode of oscillation of a very small segment or loop of string.",Fluctuations of this line horizon describe all matter. Every elementary particle can be described by a mode of oscillation of a very small piece or loop of string.
"summarize: In biology and demography, fecundity is the potential reproductive capacity of an organism or population, measured by the number of gametes (eggs), seed set or asexual propagules.","Fecundity is the potential reproductive capacity of an organism or population, measured by the number of gametes (eggs), seed set or asexual propagules."
"summarize: In February 1942, he was hospitalized, later claiming that this was due to a nervous breakdown connected with the ethnic cleansing in Belarus, especially the genocide of the Jews.","In February 1942, he was hospitalized. He claims he had a nervous breakdown connected with the ethnic cleansing in Belarus, especially the genocide of the Jews."
summarize: Woodland may support an understory of shrubs and herbaceous plants including grasses.,Forests may support an understory of shrubs and herbaceous plants.
"summarize: It has a black bill, crimson eyes, and a call reminiscent of a dog's bark.","It has a black bill, red eyes, and a call like that of a dog's bark."
"summarize: What the Spaniards then called ""chocolatl"" was said to be a beverage consisting of a chocolate base flavored with vanilla and other spices that was served cold.","What the Spaniards then called ""chocolatl"" was a beverage consisting of a chocolate base flavored with vanilla and other spices. The drink was served cold."
"summarize: Some of the animals weighed as much as 700 kg (1,500 lb) or possibly larger.","Some of the animals weighed as much as 700 kg (1,500 lb) or more."
summarize: Eraldo Pecci (born 12 April 1955) is an Italian former footballer.,Eraldo Pecci is an Italian who used to play football.
"summarize: A Feast for Crows is the fourth of seven planned novels in A Song of Ice and Fire, an epic fantasy series by American author George R. R. Martin.",A Feast for Crows is a novel in A Song of Ice and Fire fantasy series by George R. R. Martin.
summarize: Food coloring is used both in commercial food production and in domestic cooking.,Food coloring is used in commercial food production and in home cooking.
"summarize: On the outbreak of war in August 1914, the regiment went to France and was engaged in the early fighting.",The war started in August 1914. The regiment went to France and participated in the early fighting.
summarize: Brunswick is an American city in the state of Georgia and the seat of Glynn County.,"Brunswick is an American city and the seat of Glynn County, Georgia."
summarize: The color's name is derived from the typical color of the beverage champagne.,The color's name comes from the typical color of the beverage champagne.
summarize: References External links Studylight version of The Wycliffe Bible (1395) Searchable by phrase or chapter / verse reference.,The Wycliffe Bible (1395) can be searched by phrase or chapter.
"summarize: It is an F-type asteroid, which means that it is very dark in colouring (darker than soot) with a carbonaceous composition.",It is a very dark F-type asteroid made of carbon.
"summarize: When disagreement occurs, explain yourself using talk pages, and give others the opportunity to do the same.","When argument happens, use talk pages to explain yourself and let others do the same."
summarize: This is a list of German Chancellors since 1871 by longevity.,This are German Chancellors since 1871.
summarize: Thalassa is irregularly shaped and shows no sign of any geological modification.,Thalassa is oddly shaped and shows no sign of any geological alteration.
summarize: Introduction Electrical energy conservation is an important element of energy policy.,Electrical energy conservation is an important element of energy policy.
"summarize: He took to the bush a fortnight later, reportedly with some provisions, an iron pot, and a musket stolen from a marine named Abraham Hand.","He went into hiding a fortnight later, reportedly with some provisions, an iron pot, and a musket stolen from a marine named Abraham Hand."
"summarize: The band sought to recreate the recording experience of Still Life, and again entered the studio with minimal rehearsals, and no lyrics written.","The band wanted to repeat the process of recording the Still Life. That's why they had minimal practice, and no lyrics written."
summarize: Hartmann died from an aneurysm in 1873.,Hartmann died in 1873.
"summarize: Today the garden is divided into sections containing the botanical school, gardens, ponds, greenhouses, and various buildings.","The garden is currently divided into parts with the botanical school, gardens, ponds, greenhouses, and various buildings."
summarize: Athletic teams at the school are nicknamed the Eagles.,Sports teams at the school are nicknamed the Eagles.
summarize: Pompeii was transformed into a much more public and open place.,Pompeii was made into a more public and open place.
summarize: Spurgeon was emotionally devastated by the event and it had a sobering influence on his life.,Spurgeon was upset by the event and it had a sobering influence on his life.
"summarize: The highest elevation in Puerto Rico, Cerro de Punta (4,390 feet; 1,338 m), is located in this range.","The highest elevation in Puerto Rico is, Cerro de Punta (4,390 feet; 1,338 m)."
"summarize: External links On a Fad Diet of Rock Dust, How the Garden Does Grow Henry Homeyer, June 24, 2004, New York Times.","On a Fad Diet of Rock Dust, How the Garden Does Grow is a book by Henry Homeyer."
summarize: Health considerations Early-term surgical abortion is a simple procedure which is safer than childbirth when performed before the 16th week.,Early surgical abortion is simple and safer than childbirth when made before the 16th week.
"summarize: Mattimeo is a fantasy novel by Brian Jacques, published in 1989.",Mattimeo is 1989 novel by Brian Jacques.
